title	url	imdbRating	ratingCount	duration	year																																							
Network (1976)	http://www.imdb.com/title/tt0074958/	8.2	75434	121	1976																																							
Rocky (1976)	http://www.imdb.com/title/tt0075148/	8.1	243942	119	1976																																							
Taxi Driver (1976)	http://www.imdb.com/title/tt0075314/	8.4	351181	113	1976																																							
Der Stadtneurotiker (1977)	http://www.imdb.com/title/tt0075686/	8.2	138617	93	1977																																							
Krieg der Sterne (1977)	http://www.imdb.com/title/tt0076759/	8.7	631839	121	1977																																							
Die durch die Hölle gehen (1978)	http://www.imdb.com/title/tt0077416/	8.2	174642	182	1978																																							
Alien - Das unheimliche Wesen aus einer fremden Welt (1979)	http://www.imdb.com/title/tt0078748/	8.5	391737	117	1979																																							
Apocalypse Now (1979)	http://www.imdb.com/title/tt0078788/	8.5	333178	153	1979																																							
Das Leben des Brian (1979)	http://www.imdb.com/title/tt0079470/	8.2	198548	94	1979																																							
Stalker (1979)	http://www.imdb.com/title/tt0079944/	8.2	47589	163	1979																																							
Der Elefantenmensch (1980)	http://www.imdb.com/title/tt0080678/	8.3	120156	124	1980																																							
Das Imperium schlägt zurück (1980)	http://www.imdb.com/title/tt0080684/	8.8	563252	124	1980																																							
Wie ein wilder Stier (1980)	http://www.imdb.com/title/tt0081398/	8.3	172854	129	1980																																							
Shining (1980)	http://www.imdb.com/title/tt0081505/	8.5	418163	144	1980																																							
Das Boot (1981)	http://www.imdb.com/title/tt0082096/	8.5	127022	149	1981																																							
Jäger des verlorenen Schatzes (1981)	http://www.imdb.com/title/tt0082971/	8.6	473742	115	1981																																							
Der Blade Runner (1982)	http://www.imdb.com/title/tt0083658/	8.3	350268	117	1982																																							
Fanny und Alexander (1982)	http://www.imdb.com/title/tt0083922/	8.2	30266	188	1982																																							
Gandhi (1982)	http://www.imdb.com/title/tt0083987/	8.1	121887	191	1982																																							
Das Ding aus einer anderen Welt (1982)	http://www.imdb.com/title/tt0084787/	8.2	188733	109	1982																																							
Fröhliche Weihnachten (1983)	http://www.imdb.com/title/tt0085334/	8.1	85811	94	1983																																							
Die Rückkehr der Jedi-Ritter (1983)	http://www.imdb.com/title/tt0086190/	8.4	445123	134	1983																																							
Scarface - Toni\	scarface toni das narbengesicht	http://www.imdb.com/title/tt0086250/	8.3	6318.566667	10200																																				0			
Amadeus (1984)	http://www.imdb.com/title/tt0086879/	8.4	198201	160	1984																																							
Nausicaä - Prinzessin aus dem Tal der Winde (1984)	http://www.imdb.com/title/tt0087544/	8.2	60197	117	1984																																							
Es war einmal in Amerika (1984)	http://www.imdb.com/title/tt0087843/	8.4	159607	229	1984																																							
Terminator (1984)	http://www.imdb.com/title/tt0088247/	8.1	413108	107	1984																																							
Zurück in die Zukunft (1985)	http://www.imdb.com/title/tt0088763/	8.5	478445	116	1985																																							
Ran (1985)	http://www.imdb.com/title/tt0089881/	8.3	58697	162	1985																																							
Aliens - Die Rückkehr (1986)	http://www.imdb.com/title/tt0090605/	8.5	353899	137	1986																																							
Platoon (1986)	http://www.imdb.com/title/tt0091763/	8.2	217699	120	1986																																							
Stand by Me - Das Geheimnis eines Sommers (1986)	http://www.imdb.com/title/tt0092005/	8.2	198139	89	1986																																							
Das Schloss im Himmel (1986)	http://www.imdb.com/title/tt0092067/	8.1	61387	124	1986																																							
Full Metal Jacket (1987)	http://www.imdb.com/title/tt0093058/	8.4	334586	116	1987																																							
Die Braut des Prinzen (1987)	http://www.imdb.com/title/tt0093779/	8.2	222749	98	1987																																							
Stirb langsam (1988)	http://www.imdb.com/title/tt0095016/	8.3	431906	131	1988																																							
Die letzten Leuchtkäfer (1988)	http://www.imdb.com/title/tt0095327/	8.5	85046	89	1988																																							
Cinema Paradiso (1988)	http://www.imdb.com/title/tt0095765/	8.5	103093	155	1988																																							
Mein Nachbar Totoro (1988)	http://www.imdb.com/title/tt0096283/	8.3	101445	86	1988																																							
Indiana Jones und der letzte Kreuzzug (1989)	http://www.imdb.com/title/tt0097576/	8.3	364585	127	1989																																							
GoodFellas - Drei Jahrzehnte in der Mafia (1990)	http://www.imdb.com/title/tt0099685/	8.8	515242	146	1990																																							
Die Schöne und das Biest (1991)	http://www.imdb.com/title/tt0101414/	8.1	208331	84	1991																																							
Das Schweigen der Lämmer (1991)	http://www.imdb.com/title/tt0102926/	8.6	584102	118	1991																																							
Terminator 2 - Tag der Abrechnung (1991)	http://www.imdb.com/title/tt0103064/	8.5	523543	137	1991																																							
Reservoir Dogs - Wilde Hunde (1992)	http://www.imdb.com/title/tt0105236/	8.4	454684	99	1992																																							
Erbarmungslos (1992)	http://www.imdb.com/title/tt0105695/	8.3	205938	131	1992																																							
...und täglich grüßt das Murmeltier (1993)	http://www.imdb.com/title/tt0107048/	8.1	309177	101	1993																																							
Im Namen des Vaters (1993)	http://www.imdb.com/title/tt0107207/	8.2	74591	133	1993																																							
Schindlers Liste (1993)	http://www.imdb.com/title/tt0108052/	8.9	599579	195	1993																																							
Forrest Gump (1994)	http://www.imdb.com/title/tt0109830/	8.8	799314	142	1994																																							
Der König der Löwen (1994)	http://www.imdb.com/title/tt0110357/	8.5	408078	89	1994																																							
Léon - Der Profi (1994)	http://www.imdb.com/title/tt0110413/	8.6	501117	110	1994																																							
Pulp Fiction (1994)	http://www.imdb.com/title/tt0110912/	9	911042	154	1994																																							
Die Verurteilten (1994)	http://www.imdb.com/title/tt0111161/	9.3	1183395	142	1994																																							
Drei Farben - Rot (1994)	http://www.imdb.com/title/tt0111495/	8.1	47730	99	1994																																							
Before Sunrise - Zwischenstopp in Wien (1995)	http://www.imdb.com/title/tt0112471/	8.1	119333	105	1995																																							
Braveheart (1995)	http://www.imdb.com/title/tt0112573/	8.4	523797	177	1995																																							
Casino (1995)	http://www.imdb.com/title/tt0112641/	8.2	236730	178	1995																																							
Hass (1995)	http://www.imdb.com/title/tt0113247/	8.1	72274	98	1995																																							
Heat (1995)	http://www.imdb.com/title/tt0113277/	8.3	324264	170	1995																																							
Sieben (1995)	http://www.imdb.com/title/tt0114369/	8.7	691425	127	1995																																							
Toy Story (1995)	http://www.imdb.com/title/tt0114709/	8.3	410650	81	1995																																							
12 Monkeys (1995)	http://www.imdb.com/title/tt0114746/	8.1	342200	129	1995																																							
Underground (1995)	http://www.imdb.com/title/tt0114787/	8.2	30610	170	1995																																							
Die üblichen Verdächtigen (1995)	http://www.imdb.com/title/tt0114814/	8.7	523742	106	1995																																							
Fargo - Blutiger Schnee (1996)	http://www.imdb.com/title/tt0116282/	8.2	310335	98	1996																																							
Trainspotting - Neue Helden (1996)	http://www.imdb.com/title/tt0117951/	8.2	343921	94	1996																																							
In the Mood for Love - Der Klang der Liebe (2000)	http://www.imdb.com/title/tt0118694/	8.1	55016	98	2000																																							
The Big Lebowski (1998)	http://www.imdb.com/title/tt0118715/	8.2	380503	117	1998																																							
Das Leben ist schön (1997)	http://www.imdb.com/title/tt0118799/	8.6	266261	116	1997																																							
Good Will Hunting - Der gute Will Hunting (1997)	http://www.imdb.com/title/tt0119217/	8.2	414269	126	1997																																							
L.A. Confidential (1997)	http://www.imdb.com/title/tt0119488/	8.3	319796	138	1997																																							
Prinzessin Mononoke (1997)	http://www.imdb.com/title/tt0119698/	8.5	150101	134	1997																																							
Die Truman Show (1998)	http://www.imdb.com/title/tt0120382/	8	455656	103	1998																																							
American History X (1998)	http://www.imdb.com/title/tt0120586/	8.6	550302	119	1998																																							
The Green Mile (1999)	http://www.imdb.com/title/tt0120689/	8.5	499240	189	1999																																							
Bube Dame König grAS (1998)	http://www.imdb.com/title/tt0120735/	8.2	304448	107	1998																																							
Der Herr der Ringe - Die Gefährten (2001)	http://www.imdb.com/title/tt0120737/	8.9	871819	178	2001																																							
Der Soldat James Ryan (1998)	http://www.imdb.com/title/tt0120815/	8.6	600405	169	1998																																							
Matrix (1999)	http://www.imdb.com/title/tt0133093/	8.7	841150	136	1999																																							
Fight Club (1999)	http://www.imdb.com/title/tt0137523/	8.9	900388	139	1999																																							
Das Fest (1998)	http://www.imdb.com/title/tt0154420/	8.2	52322	105	1998																																							
Der Herr der Ringe - Die Rückkehr des Königs (2003)	http://www.imdb.com/title/tt0167260/	8.9	845383	201	2003																																							
Der Herr der Ringe - Die zwei Türme (2002)	http://www.imdb.com/title/tt0167261/	8.8	760587	179	2002																																							
Sixth Sense (1999)	http://www.imdb.com/title/tt0167404/	8.2	516468	107	1999																																							
Lagaan: Once Upon a Time in India (2001)	http://www.imdb.com/title/tt0169102/	8.3	33481	224	2001																																							
American Beauty (1999)	http://www.imdb.com/title/tt0169547/	8.5	602828	122	1999																																							
Gladiator (2000)	http://www.imdb.com/title/tt0172495/	8.5	661296	155	2000																																							
Requiem for a Dream (2000)	http://www.imdb.com/title/tt0180093/	8.4	413539	102	2000																																							
Die Monster AG (2001)	http://www.imdb.com/title/tt0198781/	8.1	374409	92	2001																																							
Snatch - Schweine und Diamanten (2000)	http://www.imdb.com/title/tt0208092/	8.4	432193	104	2000																																							
Memento (2000)	http://www.imdb.com/title/tt0209144/	8.6	605480	113	2000																																							
Die fabelhafte Welt der Amelie (2001)	http://www.imdb.com/title/tt0211915/	8.5	380600	122	2001																																							
Chihiros Reise ins Zauberland (2001)	http://www.imdb.com/title/tt0245429/	8.6	273502	125	2001																																							
Amores perros (2000)	http://www.imdb.com/title/tt0245712/	8.2	130465	154	2000																																							
Donnie Darko (2001)	http://www.imdb.com/title/tt0246578/	8.1	430315	113	2001																																							
Der Pianist (2002)	http://www.imdb.com/title/tt0253474/	8.5	331248	150	2002																																							
Findet Nemo (2003)	http://www.imdb.com/title/tt0266543/	8.2	451631	100	2003																																							
Kill Bill: Vol. 1 (2003)	http://www.imdb.com/title/tt0266697/	8.2	509895	111	2003																																							
A Beautiful Mind - Genie und Wahnsinn (2001)	http://www.imdb.com/title/tt0268978/	8.2	389925	135	2001																																							
City of God (2002)	http://www.imdb.com/title/tt0317248/	8.7	386540	130	2002																																							
Fluch der Karibik (2003)	http://www.imdb.com/title/tt0325980/	8.1	572501	143	2003																																							
Vergiss mein nicht (2004)	http://www.imdb.com/title/tt0338013/	8.4	475849	108	2004																																							
Infernal Affairs - Die achte Hölle (2002)	http://www.imdb.com/title/tt0338564/	8.2	68704	101	2002																																							
Das wandelnde Schloss (2004)	http://www.imdb.com/title/tt0347149/	8.2	136207	119	2004																																							
Salinui chueok (2003)	http://www.imdb.com/title/tt0353969/	8.1	39252	130	2003																																							
Inglourious Basterds (2009)	http://www.imdb.com/title/tt0361748/	8.3	561706	153	2009																																							
Der Untergang (2004)	http://www.imdb.com/title/tt0363163/	8.3	184234	156	2004																																							
Oldboy (2003)	http://www.imdb.com/title/tt0364569/	8.4	245394	120	2003																																							
Swades: We\	swades we the people	http://www.imdb.com/title/tt0367110/	8.5	460.2833333	12600																																				0			
Batman Begins (2005)	http://www.imdb.com/title/tt0372784/	8.3	659591	140	2005																																							
Before Sunset (2004)	http://www.imdb.com/title/tt0381681/	8.1	113580	80	2004																																							
Hotel Ruanda (2004)	http://www.imdb.com/title/tt0395169/	8.2	195628	121	2004																																							
Schmetterling und Taucherglocke (2007)	http://www.imdb.com/title/tt0401383/	8.1	75965	112	2007																																							
Sin City (2005)	http://www.imdb.com/title/tt0401792/	8.2	491210	124	2005																																							
Das Leben der Anderen (2006)	http://www.imdb.com/title/tt0405094/	8.5	185524	137	2006																																							
Million Dollar Baby (2004)	http://www.imdb.com/title/tt0405159/	8.1	334315	132	2004																																							
Rang De Basanti (2006)	http://www.imdb.com/title/tt0405508/	8.6	36778	157	2006																																							
Departed - Unter Feinden (2006)	http://www.imdb.com/title/tt0407887/	8.5	598844	151	2006																																							
V wie Vendetta (2005)	http://www.imdb.com/title/tt0434409/	8.2	557042	132	2005																																							
Toy Story 3 (2010)	http://www.imdb.com/title/tt0435761/	8.5	356405	103	2010																																							
Das Bourne Ultimatum (2007)	http://www.imdb.com/title/tt0440963/	8.1	350787	115	2007																																							
Pans Labyrinth (2006)	http://www.imdb.com/title/tt0457430/	8.3	339845	118	2006																																							
The Dark Knight (2008)	http://www.imdb.com/title/tt0468569/	9	1148515	152	2008																																							
There Will Be Blood (2007)	http://www.imdb.com/title/tt0469494/	8.1	272992	158	2007																																							
No Country for Old Men (2007)	http://www.imdb.com/title/tt0477348/	8.2	434032	122	2007																																							
Prestige - Die Meister der Magie (2006)	http://www.imdb.com/title/tt0482571/	8.5	555345	130	2006																																							
Into the Wild (2007)	http://www.imdb.com/title/tt0758758/	8.2	292747	148	2007																																							
Star Trek (2009)	http://www.imdb.com/title/tt0796366/	8.1	401744	127	2009																																							
Marvel's The Avengers (2012)	http://www.imdb.com/title/tt0848228/	8.2	638083	143	2012																																							
Drachenzähmen leicht gemacht (2010)	http://www.imdb.com/title/tt0892769/	8.2	285643	98	2010																																							
WALL·E - Der letzte räumt die Erde auf (2008)	http://www.imdb.com/title/tt0910970/	8.5	476415	98	2008																																							
Black Swan (2010)	http://www.imdb.com/title/tt0947798/	8.1	413273	108	2010																																							
Mary & Max\	 wenn es regnet (2009)	mary max oder schrumpfen schafe wenn es regnet	http://www.imdb.com/title/tt0978762/	0.136666667	77311																																				0	0		
Taare Zameen Par (2007)	http://www.imdb.com/title/tt0986264/	8.6	48238	165	2007																																							
The Wolf of Wall Street (2013)	http://www.imdb.com/title/tt0993846/	8.4	285401	180	2013																																							
Slumdog Millionär (2008)	http://www.imdb.com/title/tt1010048/	8.1	470400	120	2008																																							
